NumeroExecucao;ResultadoFO;TempoExecucaoMS
1;9436.484362768253;96042
2;9629.148286471038;98319
3;11616.909629889478;96611
4;11090.735352880189;94330
5;10345.288163197625;94008
6;11604.363292712162;96791
7;9869.32575547832;94060
8;11639.126497738047;93204
9;10931.947016542761;92472
10;10725.823048331295;94725
11;9943.318193916022;93499
12;10727.84429108436;94987
13;10622.822746743068;96535
14;11024.017195109385;94986
15;10347.331667127652;105813
16;9804.106848430607;102448
17;9531.064022570992;108557
18;11028.300727482647;106347
19;10928.546433964231;120301
20;11105.711646728725;95987
21;10839.639348589;96208
22;10239.258019451643;97077
23;9994.476188650035;95741
24;10209.334150655306;95477
25;11225.292581885682;96604
26;10539.094239594577;97311
27;10708.91356320251;98929
28;8387.157116476386;96285
29;9967.827673815142;95655
30;11729.657408585068;95434
